City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
473,Puerto Escondido,MX,85.03,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
474,Iskateley,RU,66.51,moderate rain,67.6803,53.1512,Hostel Agat
476,Cabedelo,BR,83.07,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
477,Westport,US,88.29,clear sky,41.1415,-73.3579,The Westport Inn
478,Kristiinankaupunki,FI,68.16,overcast clouds,62.2743,21.376,Hotel Alma
479,Dongsheng,CN,74.37,broken clouds,39.8161,109.9776,Crowne Plaza Ordos
480,Acajutla,SV,84.88,overcast clouds,13.5928,-89.8275,Laureles
481,Kambove,CD,67.08,clear sky,-10.8764,26.5969,Couvant des soeurs catholiques
482,Caravelas,BR,79.41,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
486,Nioro,GM,84.96,moderate rain,13.35,-15.75,
489,Marathon,US,68.2,overcast clouds,44.9,-89.7668,
492,Najran,SA,81.25,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
494,Naze,JP,77.92,overcast clouds,28.3667,129.4833,Shishime Hotel
496,Nobeoka,JP,78.75,overcast clouds,32.5833,131.6667,En City Hotel Nobeoka
497,Mao,ES,86.56,clear sky,39.8885,4.2658,ARTIEM Capri
500,Lorengau,PG,80.67,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
501,Nata,PA,84.07,overcast clouds,8.3333,-80.5167,Rey David
502,Babylon,US,88.02,clear sky,40.6957,-73.3257,Relax Inn Motel
503,Karla,EE,73.36,few clouds,59.3723,24.9275,River Villa
505,Karatau,KZ,81.88,clear sky,43.1667,70.4667,Baza Zika
506,Tiarei,PF,69.82,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
507,Marsh Harbour,BS,84.7,broken clouds,26.5412,-77.0636,Abaco Beach Resort
511,Tangjiazhuang,CN,77.54,broken clouds,39.7333,118.45,Peace Hotel
513,Ventspils,LV,69.73,clear sky,57.3894,21.5606,Jūras brīze
514,Lichuan,CN,69.22,overcast clouds,30.3,108.85,Yuanlai Homestay
515,Mabaruma,GY,82.4,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
519,Liverpool,GB,70.29,few clouds,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
520,Mahibadhoo,MV,83.34,scattered clouds,3.7833,72.9667,Omadhoo Inn
522,Wadowice,PL,80.62,overcast clouds,49.8834,19.4929,Hotel Badura
523,Cervo,ES,78.26,scattered clouds,43.6702,-7.4101,Hotel Spa Galatea
524,Moerai,PF,70.81,overcast clouds,-22.4333,-151.3333,Le Manotel
526,Suarez,CO,78.22,scattered clouds,2.954,-76.6964,Hotel Estrella Dorada
527,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
529,Mattru,SL,80.28,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
531,Ushtobe,KZ,76.5,broken clouds,45.2514,77.9838,"Gostinitsa ""Diyar"""
532,Dwarka,IN,83.03,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
533,Kimbe,PG,75.78,scattered clouds,-5.5502,150.1429,Kimbe Bay Hotel
534,Gisenyi,RW,69.57,overcast clouds,-1.7028,29.2564,Palm garden Resort
535,Antonina,BR,65.88,overcast clouds,-25.4286,-48.7119,Hotel Capelista
536,Kieta,PG,77.88,light rain,-6.2167,155.6333,Uruna Bay Retreat
537,Sur,OM,89.49,few clouds,22.5667,59.5289,Sur Plaza Hotel
538,Hirara,JP,84.25,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
539,Piracicaba,BR,74.95,overcast clouds,-22.7253,-47.6492,Hotel Nacional Inn Piracicaba
540,Lac Du Bonnet,CA,73.72,clear sky,50.2536,-96.0612,Drifter's Inn
541,Erzincan,TR,87.1,scattered clouds,39.75,39.5,Eriza Boutique Hotel
542,Reading,GB,83.53,clear sky,51.4562,-0.9711,The Roseate Reading
543,Surgut,RU,68.18,clear sky,61.25,73.4167,Business Hotel
544,Honiara,SB,75.92,broken clouds,-9.4333,159.95,Heritage Park Hotel
547,Marsa Matruh,EG,82.6,clear sky,31.3525,27.2453,Beau Site
548,Nimaparha,IN,79.2,overcast clouds,20.0667,86.0167,Gopinatha sweet
549,Susaki,JP,76.93,overcast clouds,33.3667,133.2833,Awa
551,Puerto Baquerizo Moreno,EC,72.59,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
554,Seoul,KR,76.6,mist,37.5683,126.9778,Lotte Hotel Seoul
555,Morehead,US,81.0,clear sky,37.2711,-87.1764,CCI Express Inn
557,Cappelle-La-Grande,FR,77.22,broken clouds,50.9998,2.3585,Première Classe
561,Praya,CV,82.94,broken clouds,14.9215,-23.5087,LT Aparthotel
562,Mbour,SN,88.65,overcast clouds,14.422,-16.9638,Tama Lodge
563,Kuching,MY,77.22,few clouds,1.55,110.3333,Hilton Kuching
